# dates,infections,hospitalizations,deaths,mean_r_t
2020-02-05,661.6780489462355,0.0,0.0,2.3027814492609235
2020-02-06,661.6780489462355,0.0,0.0,2.30277917167318
2020-02-07,661.6780489462355,0.0,0.0,2.302778271759773
2020-02-08,661.6780489462355,0.0,0.0,2.3027770162765084
2020-02-09,661.6780489462355,0.0,0.0,2.3027752647332513
2020-02-10,661.6780489462355,0.0,0.0,2.3027728211314624
2020-02-11,661.6780489462355,0.0,0.0,2.3027694120334896
2020-02-12,661.6780489462355,0.0,0.0,2.3027646559682196
2020-02-13,661.6780489462355,0.0,0.0,2.3027580207513973
2020-02-14,2185.344204655489,0.0,0.0,2.3027303960525654
2020-02-15,2178.0629531776126,0.0,0.0,2.3027151860469814
2020-02-16,2346.2013369746614,0.0,0.0,2.3026895869115918
2020-02-17,2688.9157546494016,0.0,0.0,2.3026568954582967
2020-02-18,3400.9703282370388,22.0,0.0,2.3026136915035043
2020-02-19,4520.944503484069,44.0,0.0,2.3025554476718066
2020-02-20,5448.459667319788,67.0,0.0,2.3024754127638714
2020-02-21,6355.222381896449,89.0,0.009597389103821088,2.3023645434578017
2020-02-22,7527.874199409915,112.0,0.02863221082639958,2.3022128710510352
2020-02-23,9040.899924615593,134.0,0.05696850215543135,2.302005638721152
2020-02-24,11002.613595670815,157.0,0.09449069453045789,2.3017212561642144
2020-02-25,13214.031149781642,179.0,0.15325724753992953,2.301329747617131
2020-02-26,15709.470416945996,202.0,0.2326408108496984,2.300789460120412
2020-02-27,18667.215289422504,276.0,0.3321081366757389,2.300043734587781
2020-02-28,22246.916201286076,350.0,0.4652821350872335,2.2990140311981966
2020-02-29,26576.566757160657,408.0,0.6309457608378926,2.297591096485389
2020-03-01,31688.176217274307,477.0,0.93414548360651,2.2956236478640815
2020-03-02,37671.442292606815,570.0,1.4190551602488575,2.2929030791116767
2020-03-03,44722.80051437424,701.0,2.0921762508149935,2.2891432035112405
2020-03-04,53070.13530901263,864.0,2.909014503552113,2.2839530419105625
2020-03-05,62935.845999085774,1057.0,3.8293680172356614,2.276801990647632
2020-03-06,74502.89174137337,1291.0,4.786899809637745,2.2669776104815456
2020-03-07,87955.73608715947,1576.0,5.998726784956885,2.2535377851170937
2020-03-08,103498.79764471849,1927.0,7.54229487175521,2.2352633488786253
2020-03-09,121303.10721988682,2302.0,9.461384520922381,2.2106246032757944
2020-03-10,141430.0448904602,2762.0,11.847095962876587,2.177787239374762
2020-03-11,163750.08414098065,3317.0,14.799983709379614,2.1346982039848252
2020-03-12,187885.38186101336,3982.0,18.408334536659105,2.0793035272422506
2020-03-13,213168.3422166435,4770.0,22.840587720141535,2.0099430324594105
2020-03-14,238622.6070405373,5694.0,28.274805295827328,1.9259170043707794
2020-03-15,263022.9820982878,6789.0,34.92341375639753,1.8281113071371833
2020-03-16,285073.0077507774,8094.0,42.97756371368813,1.719430089042026
2020-03-17,303675.39722318633,9642.0,52.735355704705626,1.6047256277634208
2020-03-18,318184.2417119494,11475.0,64.5646085146241,1.490061986438563
2020-03-19,328508.43541228614,13634.0,78.89840934469537,1.3814939311133931
2020-03-20,335021.7390753588,16175.0,96.23559163609784,1.2838490603849
2020-03-21,338351.0438762279,19160.0,117.15548546007224,1.199999311982992
2020-03-22,339168.1812233571,22649.0,142.35805267028778,1.1307993717816627
2020-03-23,338068.3035101075,26702.0,171.55724739528796,1.075525366496372
2020-03-24,335537.0503589133,31365.0,205.48847487598826,1.0325022928881378
2020-03-25,331962.2230404039,36676.0,244.95732121618488,0.9996700266921679
2020-03-26,327650.3120831015,42643.0,290.8267506604214,0.9749758492017178
2020-03-27,322835.87200395326,49236.0,344.00483321488264,0.956589867642893
2020-03-28,317689.7555192105,56374.0,405.4046299947421,0.9429889473910832
2020-03-29,312331.8753905819,63927.0,475.8697531110523,0.9329613582810553
2020-03-30,306846.5321643697,71719.0,556.0723747013039,0.9255724215001954
2020-03-31,301294.91505418293,79546.0,646.390126045038,0.9201164840497543
2020-04-01,295722.21717028803,87197.0,746.7824223502225,0.9160687803543452
2020-04-02,290160.980896172,94463.0,856.6819989487957,0.9130432029136788
2020-04-03,284633.5254236025,101158.0,974.9309594062721,0.9107578033537708
2020-04-04,279154.76498440135,107123.0,1099.7894549518146,0.909007794746397
2020-04-05,273734.9453237335,112229.0,1229.0288232667826,0.907644999364047
2020-04-06,268381.4658280664,116389.0,1360.0918933972084,0.906562487469618
2020-04-07,263099.6801347498,119563.0,1490.2926624887698,0.9056832386089042
2020-04-08,257893.20656325817,121760.0,1617.0053402060573,0.9049518447582998
2020-04-09,252764.25726156522,123044.0,1737.8191881219686,0.9043284767932795
2020-04-10,247714.09001107956,123521.0,1850.649137929003,0.9037845160906243
2020-04-11,242743.4106324997,123322.0,1953.8032125835223,0.9032994013083759
2020-04-12,237852.58781133633,122585.0,2046.0128193766336,0.9028583569995248
2020-04-13,233041.7114060086,121439.0,2126.4352348684924,0.9024507598351073
2020-04-14,228310.61125475675,119989.0,2194.633463046441,0.902068964792553
2020-04-15,223658.90906283192,118323.0,2250.541537584747,0.9017074625841253
2020-04-16,219086.09370237397,116506.0,2294.418415199326,0.9013622752366981
2020-04-17,214591.5784004497,114589.0,2326.7955160184124,0.9010305226523544
2020-04-18,210174.72210902566,112609.0,2348.4170637582943,0.9007101118253367
2020-04-19,205834.8300166333,110594.0,2360.175428671796,0.9003995140395448
2020-04-20,201569.45761871655,108563.0,2363.0465404574065,0.9000900170417829
2020-04-21,197382.95127815675,106530.0,2358.0321768787617,0.8998037369874878
2020-04-22,193270.86023551287,104505.0,2346.123382046419,0.899524440905382
2020-04-23,189232.59066968402,102494.0,2328.254042134142,0.8992523982222744
2020-04-24,185267.43945844757,100504.0,2305.289197469412,0.8989880147194718
2020-04-25,181374.8498253432,98536.0,2278.0152561438977,0.8987318724137722
2020-04-26,177554.57580263866,96594.0,2247.13651189962,0.8984847907313637
2020-04-27,173805.80317741245,94679.0,2213.2762651486564,0.898247908473166
2020-04-28,170127.78349410705,92792.0,2176.9812405876332,0.8980227939951553
2020-04-29,166520.06302521302,90934.0,2138.728105162522,0.8978115948561528
2020-04-30,162982.2807396997,89105.0,2098.931034184722,0.8976172378927638
2020-05-01,159514.41401925523,87306.0,2057.949473508167,0.8974436977633155
2020-05-02,156116.58671378536,85536.0,2016.0955491283935,0.8972963578066602
2020-05-03,152789.2013675122,83795.0,1973.6407447133997,0.8971824933407176
2020-05-04,149533.09756443853,82084.0,1930.8215536059226,0.897111918448525
2020-05-05,146349.68951618098,80402.0,1887.8439709265929,0.8970978484395689
2020-05-06,143241.1600397624,78749.0,1844.8868418434777,0.8971580455772739
2020-05-07,140210.65774416382,77124.0,1802.1045704085097,0.8973163332846401
2020-05-08,137262.57629692962,75529.0,1759.6292257060438,0.8976045829155138
2020-05-09,134402.93850459222,73961.0,1717.5724612547967,0.8980652946362243
2020-05-10,131639.87020262534,72422.0,1676.0274316837388,0.898754903070551
2020-05-11,128984.18934455192,70910.0,1635.0705675390623,0.8997479266061276
2020-05-12,126450.10721527562,69426.0,1594.763231382972,0.9011420235142886
2020-05-13,124056.04565146046,67969.0,1555.1535992543222,0.9030638792297183
2020-05-14,121828.27152445818,66539.0,1516.2783665440775,0.90567556682809
2020-05-15,119798.16040070697,65136.0,1478.1641425228358,0.9091805133404968
2020-05-16,117997.62684266853,63759.0,1440.829025433449,0.9138273719512895
2020-05-17,116470.42137000161,62409.0,1404.2840024204866,0.9199089174255386
2020-05-18,115266.99716557022,61086.0,1368.5340942523567,0.9277516355824971
2020-05-19,114442.77113354423,59790.0,1333.5797230719234,0.9376904850197919
2020-05-20,114053.81119119833,58520.0,1299.4178460853327,0.9500236411873002
2020-05-21,114150.97628089722,57278.0,1266.043049011714,0.9649456044655345
2020-05-22,114774.02784934833,56063.0,1233.4482842368764,0.982465703051035
